"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
42.6315789474,-70,3.800572,7.381965,646.622913,762.192588
42.6315789474,-72.5,8.33602,12.796248,1217.198576,1416.610072
42.6315789474,-75,7.302346,12.628217,1088.125939,1286.903116
42.6315789474,-77.5,6.112919,12.59303,977.508768,1174.384668
42.6315789474,-80,4.169769,12.86423,911.470462,1112.100894
42.6315789474,-82.5,3.215202,13.43084,939.815688,1149.384428
42.6315789474,-85,3.123869,14.15912,969.625582,1192.859582
42.6315789474,-87.5,2.444351,11.80252,918.096441,1104.787981
42.6315789474,-90,2.315796,13.4061,854.405458,1072.314288
42.6315789474,-92.5,1.738312,11.9244,722.564905,918.671605
42.6315789474,-95,1.491005,10.55916,607.091162,778.853702
42.6315789474,-97.5,1.281751,9.24854,496.956019,645.753219
44.5263157895,-100,0.913343,5.97284,314.790173,414.825103
44.5263157895,-102.5,1.215266,5.30559,296.371453,385.989353
44.5263157895,-105,1.427975,4.78064,271.499628,350.994279
44.5263157895,-107.5,1.345915,4.272806,244.828443,312.000693
44.5263157895,-110,1.570215,3.208477,213.002261,260.041968
44.5263157895,-112.5,0.846468,3.429911,170.815153,220.216628
44.5263157895,-115,1.247849,3.183769,191.9180197,239.5319217
44.5263157895,-117.5,0.779171,3.823901,172.7930198,228.9390558
44.5263157895,-120,0.599047,3.105081,138.8403189,184.1544719
44.5263157895,-122.5,0.721415,5.319604,262.1765417,341.2400307
44.5263157895,-125,0.2798835,1.55525,72.239655,95.0607904
44.5263157895,-127.5,0.2086529,1.1306242,53.1037105,69.9332166
44.5263157895,-62.5,1.134351,4.806172,311.4226529,384.9338639
44.5263157895,-65,1.835177,6.581038,443.144917,544.10475
44.5263157895,-67.5,2.268588,6.283577,462.70018,562.483117
44.5263157895,-70,4.019159,8.788445,674.138713,809.062728
44.5263157895,-72.5,4.710369,10.36256,788.209183,946.455609
44.5263157895,-75,4.032398,11.113148,770.02913,938.405309
